Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
HC2021,HD Heavy Duty Floor Cleaner (500ml),160,139,69.5,2.57,,,,,,,,,,,,,,,,,,,,
HC0026,Silver Dip Instant Silver Cleaner (300ml),225,196,98,3.63,,,,,,,,,,,,,,,,,,,,
HC3028,Spic ‘N’ Span Scale & Bathroom Cleaner 250ml,135,117,58.5,2.17,,,,,,,,,,,,,,,,,,,,
HC0027,Beyond Blue (750ml),162,141,70.5,2.61,,,,,,,,,,,,,,,,,,,,
HC5005,One Der Scrub (4 N),135,117,58.5,2.17,,,,,,,,,,,,,,,,,,,,
HC2024,"Sparkle Advanced Concentrated Glass Cleaner with
antifog effect (Biosafe Formula) (500ml)",175,152,76,2.81,,,,,,,,,,,,,,,,,,,,
HC2018,"One Der Drop Advanced Concentrated Dish Washing
Liquid (Biosafe Formula) (500ml)",202,176,88,3.26,,,,,,,,,,,,,,,,,,,,
HC0006,"One Der Drop Advanced Concentrated Dish Washing
Liquid (Original Formula) (500ml)",202,176,88,3.26,,,,,,,,,,,,,,,,,,,,
HC3027,SteriClean Powerful Disinfectant Cleaner Original (250ml),110,96,48,1.78,,,,,,,,,,,,,,,,,,,,
HC2019,SteriClean Powerful Disinfectant Cleaner Original (500ml),213,185,92.5,3.43,,,,,,,,,,,,,,,,,,,,
HC2027,SteriClean Powerful Disinfectant Cleaner Lime (500ml),213,185,92.5,3.43,,,,,,,,,,,,,,,,,,,,
HC2028,SteriClean Powerful Disinfectant Cleaner Khus (500ml),213,185,92.5,3.43,,,,,,,,,,,,,,,,,,,,
HC2026,SteriClean Powerful Disinfectant Cleaner Advanced (500ml),220,191,95.5,3.54,,,,,,,,,,,,,,,,,,,,
HC0020,Germi Bust Multi-surface Disinfectant Spray (170g),175,159,63.60,2.36,,,,,,,,,,,,,,,,,,,,
HC0021,Fruveg Fruit And Vegetable Wash (500ml),288,250,125,4.63,,,,,,,,,,,,,,,,,,,,
LC1018,Washmate Popular Detergent Powder (1Kg),157,143,50.05,1.85,,,,,,,,,,,,,,,,,,,,
LC2015,Washmate Matic Concentrated Detergent Powder (500g),150,130,45.5,1.69,,,,,,,,,,,,,,,,,,,,
LC4004,Washmate PowerClean Detergent Bar (3 N x 200g),108,95,33.25,1.23,,,,,,,,,,,,,,,,,,,,
LC2017,Washmate Delicate Liquid Detergent for Woolen & Delicate Fabrics (Biosafe Formula) (500ml),350,304,182.4,6.76,,,,,,,,,,,,,,,,,,,,
LC3021,Washmate Pre Wash Dirt & Stain Remover (250ml),175,152,53.2,1.97,,,,,,,,,,,,,,,,,,,,
LC2018,Washmate 5 in 1 Liquid Detergent with Powerzyme & Natural Softener (Biosafe Formula) (500ml),375,326,195.6,7.24,,,,,,,,,,,,,,,,,,,,
FS5051,Well All Plant Protein Powder (200g),936,780,468,17.33,,,,,,,,,,,,,,,,,,,,
FS5052,Well All Plant Protein Powder (500g),2189,1824,1094.4,40.53,,,,,,,,,,,,,,,,,,,,
HL2007,Well Pudina with Tulsi (100 N),350,292,175.2,6.49,,,,,,,,,,,,,,,,,,,,
HL2004,Well Flax Oil (90 N),605,515,309,11.44,,,,,,,,,,,,,,,,,,,,
HL2005,Well Garlic Pearls (100 N),350,292,175.2,6.49,,,,,,,,,,,,,,,,,,,,
HL2003,Well Amrit Shakti (100 N),385,321,192.6,7.13,,,,,,,,,,,,,,,,,,,,
HL2008,Well Spirulina (100 N),412,350,210,7.78,,,,,,,,,,,,,,,,,,,,
HL2006,Well Noni Juice Concentrate (1L),500,465,186,6.89,,,,,,,,,,,,,,,,,,,,
HL2009,Well Multivitamin Multimineral (30 N),410,350,210,7.78,,,,,,,,,,,,,,,,,,,,
HL1002,Well Calcium Complex (60 N),466,395,237,8.78,,,,,,,,,,,,,,,,,,,,
HL2002,Well D Tox (60 N),535,457,274.2,10.16,,,,,,,,,,,,,,,,,,,,
HL1001,Well Strong & Smart (Chocolate Flavour) (200g),635,543,325.8,12.07,,,,,,,,,,,,,,,,,,,,
HL1003,Well Protein Crest (Velvet Chocolate) (500g),1337,1114,668.4,24.76,,,,,,,,,,,,,,,,,,,,
HL1005,Well Glucosamine with Boswellia & Curcumin (120 N),1470,1225,735,27.22,,,,,,,,,,,,,,,,,,,,
HL1008,Well Korean Red Ginseng-6 Yrs. Old (60 N),2200,1850,1110,41.11,,,,,,,,,,,,,,,,,,,,
HL2001,Well Cardio Activ (60 N),521,435,261,9.67,,,,,,,,,,,,,,,,,,,,
HL2012,Well Amla Juice (1L),320,299,119.6,4.43,,,,,,,,,,,,,,,,,,,,
HL2011,Well Aloe Vera (1L),300,280,112,4.15,,,,,,,,,,,,,,,,,,,,
HL2015,Well Shilajit Ojas Gold with Kesar & Safed Musli (30 N),599,499,249.5,9.24,,,,,,,,,,,,,,,,,,,,
HL2024,Well Omega 3 Antarctic Krill Oil (30 N),1435,1250,750,27.78,,,,,,,,,,,,,,,,,,,,
HL2027,Well Aloe Vera (60 N),320,275,165,6.11,,,,,,,,,,,,,,,,,,,,
HL2053,Well Turmeric (60 N),1050,900,540,20,,,,,,,,,,,,,,,,,,,,
HL2026,Well Ashwagandha (60 N),450,385,231,8.56,,,,,,,,,,,,,,,,,,,,
HL2028,Well Tulsi (60 N),450,385,231,8.56,,,,,,,,,,,,,,,,,,,,
HL2025,Well Amla (60 N),220,185,111,4.11,,,,,,,,,,,,,,,,,,,,
HL2029,Well Brahmi (60 N),450,385,231,8.56,,,,,,,,,,,,,,,,,,,,
HL2054,Well BrainActiv (30 N),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
HL1006,Well Intellecte (30 N) NEW,1080,899,539.4,19.98,,,,,,,,,,,,,,,,,,,,
HL2030,Well Noni (90 N) NEW,585,500,300,11.11,,,,,,,,,,,,,,,,,,,,
AC3005,Auto Wash Advanced - Auto Shampoo with Colour Protectants (250ml),125,109,54.5,2.02,,,,,,,,,,,,,,,,,,,,
AC3008,Auto Glow Auto Polish (500ml),450,390,195,7.22,,,,,,,,,,,,,,,,,,,,
SC0002,Schloka Moroccan Argan Oil Cleanser (200ml),445,371,222.6,8.24,,,,,,,,,,,,,,,,,,,,
SC0019,Schloka Purifying Neem & Gotukola Face Wash (60ml),198,165,99,3.67,,,,,,,,,,,,,,,,,,,,
SC0022,Schloka D Tan Face Pack with Tulsi & Clove (60ml),195,162,97.2,3.6,,,,,,,,,,,,,,,,,,,,
